title,artist,link
Untitled - Life Drawing of Skeletons (1963),William O. Little,collections.ed.ac.uk/art/record/99268?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20699?highlight=*:*
From the Viking Age (1897),Pavlov Chailly,collections.ed.ac.uk/art/record/50469?highlight=*:*
Felicity Who Went to Peru (1986),Faye Banks,collections.ed.ac.uk/art/record/21897?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53622?highlight=*:*
Untitled - Children Playing (1963),Monika L I Uecker,collections.ed.ac.uk/art/record/99445?highlight=*:*
Unknown (1950),James Bowman,collections.ed.ac.uk/art/record/50610?highlight=*:*
Portrait of a Bearded Man (1956),James Lennox,collections.ed.ac.uk/art/record/21192?highlight=*:*
Reclining Male Nude (Feb 1951),L Weir,collections.ed.ac.uk/art/record/21223?highlight=*:*
Drawing of Monaghan (1955),Edith Duke,collections.ed.ac.uk/art/record/21217?highlight=*:*
Reclining Male Nude (1956),Ballantyne,collections.ed.ac.uk/art/record/21244?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,collections.ed.ac.uk/art/record/21784?highlight=*:*
Untitled (1969),John Stewart,collections.ed.ac.uk/art/record/99528?highlight=*:*
Studio Corner (2003),Peter Scott,collections.ed.ac.uk/art/record/99937?highlight=*:*
Bust of St. Joseph (1912),C Pouzadoux,collections.ed.ac.uk/art/record/20550?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,collections.ed.ac.uk/art/record/93355?highlight=*:*
Untitled - Nude Female Lying On a Patterned Bed (1967),Kevin Maguire,collections.ed.ac.uk/art/record/99358?highlight=*:*
On Italian Balcony,Muriel Davidson,collections.ed.ac.uk/art/record/53477?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,collections.ed.ac.uk/art/record/99434?highlight=*:*
Unknown (1968),Kenneth R Duffy,collections.ed.ac.uk/art/record/99514?highlight=*:*
Untitled (1964),Carol Handyside,collections.ed.ac.uk/art/record/99840?highlight=*:*
Untitled (1967),Christine Watson,collections.ed.ac.uk/art/record/21772?highlight=*:*
"Seated Fate, east pediment of the Parthenon",NA,collections.ed.ac.uk/art/record/20637?highlight=*:*
Unknown (1958),Katherine Cowan,collections.ed.ac.uk/art/record/50514?highlight=*:*
Unknown (1950),Alexander Cree,collections.ed.ac.uk/art/record/50544?highlight=*:*
Untitled,David C Duke,collections.ed.ac.uk/art/record/22574?highlight=*:*
Portrait of a Man (1957),Unknown,collections.ed.ac.uk/art/record/21250?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21627?highlight=*:*
Chinese spectacle case,Unknown,collections.ed.ac.uk/art/record/102704?highlight=*:*
Drawing of a Seated Man (1955-1956),Eric Ritchie,collections.ed.ac.uk/art/record/20801?highlight=*:*
Unknown (1957),Peter G. Collins,collections.ed.ac.uk/art/record/50399?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99960?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,collections.ed.ac.uk/art/record/21076?highlight=*:*
Pair of sleeves,Unknown,collections.ed.ac.uk/art/record/102676?highlight=*:*
Woodland #4 (2007),Asbjorn Hollerud,collections.ed.ac.uk/art/record/99898?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,collections.ed.ac.uk/art/record/21151?highlight=*:*
Reclining Female Nude (1953),Iain West,collections.ed.ac.uk/art/record/20783?highlight=*:*
Unknown (1950),Katherine B K Burns,collections.ed.ac.uk/art/record/50571?highlight=*:*
Inscription Panel from Trajan's Column (right side),Unknown,collections.ed.ac.uk/art/record/20537?highlight=*:*
Landscape (1951),James P W Syme,collections.ed.ac.uk/art/record/20836?highlight=*:*
Hibernation (1987),Alastair Mack,collections.ed.ac.uk/art/record/21842?highlight=*:*
Big Top (Circa 1968),Gillian Mather,collections.ed.ac.uk/art/record/21485?highlight=*:*
Prendre la clef des Chaps (1963),Ann F Ward,collections.ed.ac.uk/art/record/99346?highlight=*:*
Portrait of a Man (1961),James Fairgrieve,collections.ed.ac.uk/art/record/21396?highlight=*:*
Back of Bennachie,Hazel Holmes,collections.ed.ac.uk/art/record/21623?highlight=*:*
Landscape (1987),Brian Godley,collections.ed.ac.uk/art/record/112496?highlight=*:*
Standing Man with Scythe,John Houston,collections.ed.ac.uk/art/record/21046?highlight=*:*
Hairy Veg (2016),Eden Hawkins,collections.ed.ac.uk/art/record/99266?highlight=*:*
Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,collections.ed.ac.uk/art/record/99391?highlight=*:*
Standing Woman,John Bellany,collections.ed.ac.uk/art/record/20766?highlight=*:*
Quick Sketch (1950),Patrick W. Barclay,collections.ed.ac.uk/art/record/50619?highlight=*:*
Couple Near a Window,Unknown,collections.ed.ac.uk/art/record/22597?highlight=*:*
Transposition (Red and Gold) (2014),Emma Smith,collections.ed.ac.uk/art/record/47457?highlight=*:*
Unknown (1994),Esther Tacke,collections.ed.ac.uk/art/record/21914?highlight=*:*
Isobel L Alexander sampler (1944),Isobel L Alexander,collections.ed.ac.uk/art/record/102668?highlight=*:*
Male Nude with Staff (verso),Zygmunt Bukowski,collections.ed.ac.uk/art/record/22654?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,collections.ed.ac.uk/art/record/21132?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,collections.ed.ac.uk/art/record/50470?highlight=*:*
Portrait of a Man (1968),Donald C S Shaw,collections.ed.ac.uk/art/record/21403?highlight=*:*
Small Portrait of a Woman in Brown,Polly A. Lister,collections.ed.ac.uk/art/record/22672?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,collections.ed.ac.uk/art/record/99350?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,collections.ed.ac.uk/art/record/21997?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53630?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53652?highlight=*:*
Untitled (1966),Jean Selby,collections.ed.ac.uk/art/record/22478?highlight=*:*
Untitled (Unknown),Marjorie Ann,collections.ed.ac.uk/art/record/99907?highlight=*:*
Design folio (1961),Sheila Flinn,collections.ed.ac.uk/art/record/102686?highlight=*:*
Bust of the Prima Porta Augustus Caesar (Post 1863),NA,collections.ed.ac.uk/art/record/20549?highlight=*:*
Seated Female Nude (1958),David Rifat,collections.ed.ac.uk/art/record/20873?highlight=*:*
Dispersion (1991),Alastair Clark,collections.ed.ac.uk/art/record/21911?highlight=*:*
No 98 (1960),John Johnstone,collections.ed.ac.uk/art/record/99256?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,collections.ed.ac.uk/art/record/21328?highlight=*:*
