title,artist,link
Dark Room with Blue Wall and Picture,Elizabeth Gourlay,collections.ed.ac.uk/art/record/22539?highlight=*:*
Magpie (1989),Jane V Hyslop,collections.ed.ac.uk/art/record/99961?highlight=*:*
Thick Pale Green,Unknown,collections.ed.ac.uk/art/record/22547?highlight=*:*
Male Portrait (1959),Peter McGinn,collections.ed.ac.uk/art/record/22686?highlight=*:*
Untitled - Nude Female Sitting (1962),Geoffrey J Roper,collections.ed.ac.uk/art/record/99367?highlight=*:*
Unknown (1949),T A Suter Watt,collections.ed.ac.uk/art/record/50456?highlight=*:*
Unknown,Elizabeth Blackadder,collections.ed.ac.uk/art/record/50637?highlight=*:*
Profile of Female Nude (Circa 1970),Patrick J. Hickey,collections.ed.ac.uk/art/record/22510?highlight=*:*
Untitled (1976),Paul Grime,collections.ed.ac.uk/art/record/21831?highlight=*:*
Unknown (1960),Robin E. Bownass,collections.ed.ac.uk/art/record/50607?highlight=*:*
Two Men in a Country Landscape (1952),James P W Syme,collections.ed.ac.uk/art/record/22717?highlight=*:*
Untitled (Unknown),Susie Wilson,collections.ed.ac.uk/art/record/21964?highlight=*:*
Standing Female Nude (1949),Zygmunt Bukowski,collections.ed.ac.uk/art/record/22516?highlight=*:*
Sampler (1932),Patty Mitchell,collections.ed.ac.uk/art/record/100013?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53712?highlight=*:*
Seated Female Nude,Lucy Bowman,collections.ed.ac.uk/art/record/21443?highlight=*:*
Dark Landscape with Monoliths (1959),Jacqueline A N Stieger,collections.ed.ac.uk/art/record/20823?highlight=*:*
Unknown (1946),Alan Lefley,collections.ed.ac.uk/art/record/50485?highlight=*:*
Portrait of a Woman (1939),Jessie May Stirling,collections.ed.ac.uk/art/record/21135?highlight=*:*
Portrait of a Man,Donald Whyte,collections.ed.ac.uk/art/record/21475?highlight=*:*
Unknown,Mary C. A. Edmond,collections.ed.ac.uk/art/record/53523?highlight=*:*
Five Views of a Woman Seated (Circa 1955),Peter McGinn,collections.ed.ac.uk/art/record/21090?highlight=*:*
Untitled (1995-1996),Arabella Harvey,collections.ed.ac.uk/art/record/21724?highlight=*:*
Portrait of a Man (1960),Jean Cochrane,collections.ed.ac.uk/art/record/20981?highlight=*:*
Crouching Venus (1834),Sarti,collections.ed.ac.uk/art/record/20572?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53625?highlight=*:*
Portrait of a Man (1953),Andrew Restall,collections.ed.ac.uk/art/record/20945?highlight=*:*
Abstract,V. Constant,collections.ed.ac.uk/art/record/111444?highlight=*:*
Untitled - Birdcage and Baby (1963),Ann F Ward,collections.ed.ac.uk/art/record/99349?highlight=*:*
Corner of the Garden Palazzo Barderini Rome (Feb 1948),Marjorie Wallace,collections.ed.ac.uk/art/record/20852?highlight=*:*
Sketch of Window for Final Composition,Colin Brown,collections.ed.ac.uk/art/record/53567?highlight=*:*
Portrait of a Seated Man (1954),Ursula Giles,collections.ed.ac.uk/art/record/21211?highlight=*:*
Untitled,M. Donlevy,collections.ed.ac.uk/art/record/112506?highlight=*:*
Bust of Apollo Belvedere,Unknown,collections.ed.ac.uk/art/record/20581?highlight=*:*
Unknown (1952),Rosemary Bagshaw,collections.ed.ac.uk/art/record/53517?highlight=*:*
Untitled (1964),Carole Danielson,collections.ed.ac.uk/art/record/22483?highlight=*:*
Passage with Stacks and Artificial Light (1981),Colin A. Lawson,collections.ed.ac.uk/art/record/22554?highlight=*:*
Unknown (1954),D. Gordon Campbell,collections.ed.ac.uk/art/record/50634?highlight=*:*
Eclectic (2007),Catherine Sargeant,collections.ed.ac.uk/art/record/99852?highlight=*:*
Drawing of a Seated Woman (1958),Jacqueline A N Stieger,collections.ed.ac.uk/art/record/20787?highlight=*:*
Machine embroidered stole (1958),Unknown,collections.ed.ac.uk/art/record/102685?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21970?highlight=*:*
Gem cabinet 2 (of 6) containing 43 medallions,Unknown,collections.ed.ac.uk/art/record/20616?highlight=*:*
Portrait of Seated Man in a Cap (1960),Kenneth Muir,collections.ed.ac.uk/art/record/20983?highlight=*:*
Untitled (May 1987),Annabel Keatley,collections.ed.ac.uk/art/record/21568?highlight=*:*
Abstract Composition in White with Circle (1989),Linda A. Henniker,collections.ed.ac.uk/art/record/22514?highlight=*:*
Sky with Floating Kites (Circa 1968),Charles Ian Patterson,collections.ed.ac.uk/art/record/22588?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21856?highlight=*:*
Standing Male Nude,R Hardie,collections.ed.ac.uk/art/record/21038?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99805?highlight=*:*
Fiddlers (1952),Walter Rogalski,collections.ed.ac.uk/art/record/21656?highlight=*:*
Unknown,Alan J Mcleod,collections.ed.ac.uk/art/record/53605?highlight=*:*
Reclining Female Nude (1967),Helen Pollock,collections.ed.ac.uk/art/record/20772?highlight=*:*
Seated Male Nude (1954),Kathleen M D Mole,collections.ed.ac.uk/art/record/21051?highlight=*:*
Fossil Life (1984),Wendy McMurdo,collections.ed.ac.uk/art/record/21883?highlight=*:*
Unknown (1963),Leslie Johns,collections.ed.ac.uk/art/record/50435?highlight=*:*
The Cape of Good Hope Pub,Ella Smith,collections.ed.ac.uk/art/record/21429?highlight=*:*
Seated Male Nude (15 Feb 1950),John Parnell,collections.ed.ac.uk/art/record/21066?highlight=*:*
Portrait of a Woman (1954),Nita Newman,collections.ed.ac.uk/art/record/21209?highlight=*:*
Sleeping Figure,Paul Gladston,collections.ed.ac.uk/art/record/21516?highlight=*:*
Untitled (1973),Ken McLennan,collections.ed.ac.uk/art/record/21844?highlight=*:*
Unknown (1950),James T. Ferguson,collections.ed.ac.uk/art/record/53499?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,collections.ed.ac.uk/art/record/50523?highlight=*:*
Untitled - Abstract Crowd Scene (1964-1965),William Gillon,collections.ed.ac.uk/art/record/99477?highlight=*:*
Untitled (1964),James Goodall,collections.ed.ac.uk/art/record/99846?highlight=*:*
Unknown (Apr 1964),Jean Fayrer,collections.ed.ac.uk/art/record/50498?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20707?highlight=*:*
Still Life (1994-1995),Kerry Watson,collections.ed.ac.uk/art/record/21450?highlight=*:*
Portrait of a Woman (1954),Thomas T Robertson,collections.ed.ac.uk/art/record/21206?highlight=*:*
Nettleton (1977),"Eduardo Luigi Paolozzi KBE, RA",collections.ed.ac.uk/art/record/21698?highlight=*:*
Untitled (2007),Rita Marhaug,collections.ed.ac.uk/art/record/99979?highlight=*:*
"Marché, rue Mouffetard (1963)",Ann F Ward,collections.ed.ac.uk/art/record/99341?highlight=*:*
Portrait of a Woman (02 Nov 1953),Elizabeth Blackadder,collections.ed.ac.uk/art/record/21407?highlight=*:*
Untitled (1962),Cant,collections.ed.ac.uk/art/record/22497?highlight=*:*
Composition with Two Figures in Lime Green,Unknown,collections.ed.ac.uk/art/record/22657?highlight=*:*
Portrait of a Man (1968),Charles Ian Patterson,collections.ed.ac.uk/art/record/21321?highlight=*:*
Male Portrait (1969),Elizabeth E. Eastmond,collections.ed.ac.uk/art/record/22690?highlight=*:*
Man in His Garden (Dec 1977),Muriel A. M. Kirkwood,collections.ed.ac.uk/art/record/21672?highlight=*:*
Unknown,Ursula Giles,collections.ed.ac.uk/art/record/53489?highlight=*:*
Untitled (2007),Jon McNaught,collections.ed.ac.uk/art/record/99890?highlight=*:*
Seated Male Nude (1959),W Bryden,collections.ed.ac.uk/art/record/21108?highlight=*:*
Unknown,Leonard I. H. Gray,collections.ed.ac.uk/art/record/53486?highlight=*:*
Unknown,Alexander Cree,collections.ed.ac.uk/art/record/50547?highlight=*:*
Seated Male Nude (1961),Gwendoline Rodger,collections.ed.ac.uk/art/record/21289?highlight=*:*
Self Portrait (1956),Rose Rifat,collections.ed.ac.uk/art/record/21189?highlight=*:*
Unknown (1950),John W. Corner,collections.ed.ac.uk/art/record/50521?highlight=*:*
Portrait of a Seated Woman (1965-1966),George Donald,collections.ed.ac.uk/art/record/21172?highlight=*:*
Untitiled (Circa 1960),Robert L Snowden,collections.ed.ac.uk/art/record/21544?highlight=*:*
Portrait of a Young Boy (1956),David McClure,collections.ed.ac.uk/art/record/21334?highlight=*:*
Portrait of a Woman (1951),Rosemary Bagshawe,collections.ed.ac.uk/art/record/21234?highlight=*:*
Unknown (1960),Vivien Alexander,collections.ed.ac.uk/art/record/50626?highlight=*:*
Angel playing a pipe,Unknown,collections.ed.ac.uk/art/record/20609?highlight=*:*
"Corbel from Trinity College Church, Edinburgh",Unknown,collections.ed.ac.uk/art/record/20557?highlight=*:*
Untitled - Abstract Landscape with Black (1965-1966),Laura McPherson,collections.ed.ac.uk/art/record/99392?highlight=*:*
Self Portrait (1949),Margaret Moodie,collections.ed.ac.uk/art/record/50491?highlight=*:*
Untitled (1982),Alice Carter,collections.ed.ac.uk/art/record/21579?highlight=*:*
Untitled,Unknown,collections.ed.ac.uk/art/record/99861?highlight=*:*
Untitled (1995),John Wallbank,collections.ed.ac.uk/art/record/21714?highlight=*:*
Unknown,Sean Byrne,collections.ed.ac.uk/art/record/53600?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53618?highlight=*:*
Untitled (Unknown),David C Duke,collections.ed.ac.uk/art/record/21979?highlight=*:*
Tapestry fragment,Unknown,collections.ed.ac.uk/art/record/102673?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,collections.ed.ac.uk/art/record/22671?highlight=*:*
Seated Female Nude (1959),John O'Neill,collections.ed.ac.uk/art/record/21155?highlight=*:*
Charioteers and horses from North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20734?highlight=*:*
Schizophrenia (2007),Laura Guoke,collections.ed.ac.uk/art/record/99903?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,collections.ed.ac.uk/art/record/50471?highlight=*:*
Espresso Cup,Emma Gillies,collections.ed.ac.uk/art/record/53703?highlight=*:*
Untitled (Unknown),Zoë Telford,collections.ed.ac.uk/art/record/21619?highlight=*:*
Untitled (1997),Peter Marshall,collections.ed.ac.uk/art/record/21889?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20674?highlight=*:*
Small Landscape (1953),Iain West,collections.ed.ac.uk/art/record/20849?highlight=*:*
Untitled (Pink) (2014),Phoebe Mitchell,collections.ed.ac.uk/art/record/53777?highlight=*:*
Untitled (1983),Pauline Cumming,collections.ed.ac.uk/art/record/21899?highlight=*:*
Unknown (Circa 1890),Unknown,collections.ed.ac.uk/art/record/50466?highlight=*:*
Unknown (1960),Thora Clyne,collections.ed.ac.uk/art/record/50558?highlight=*:*
"Figure in a Garden, Florence (1946)",Brodie,collections.ed.ac.uk/art/record/50495?highlight=*:*
Untitled,Dr Ainslie Yule,collections.ed.ac.uk/art/record/99533?highlight=*:*
Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,collections.ed.ac.uk/art/record/99281?highlight=*:*
Composition with Black Square (1981),Alastair R. W. Hearsum,collections.ed.ac.uk/art/record/22552?highlight=*:*
Unknown (1952),Rosemary Bagshaw,collections.ed.ac.uk/art/record/53515?highlight=*:*
Diddly Doodly (2006),John Brown,collections.ed.ac.uk/art/record/99953?highlight=*:*
Not For Gain (2016),Daisy Lafarge,collections.ed.ac.uk/art/record/99238?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),collections.ed.ac.uk/art/record/50556?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,collections.ed.ac.uk/art/record/21398?highlight=*:*
Male Figure in Black Shaft and Household Appliances (Circa 1989),Paul Rooney,collections.ed.ac.uk/art/record/22520?highlight=*:*
Untitled - Portrait of a Woman in Red (1967),Alistair Bell,collections.ed.ac.uk/art/record/99379?highlight=*:*
Two Greyhounds,James Fairgrieve,collections.ed.ac.uk/art/record/21397?highlight=*:*
Unknown (1950),Thomas Clapperton,collections.ed.ac.uk/art/record/50562?highlight=*:*
Standing Male Nude (1952),Unknown,collections.ed.ac.uk/art/record/21222?highlight=*:*
Abstract Still Life with Jug and Fruit Bowl (1959),Denness Morton,collections.ed.ac.uk/art/record/21080?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53668?highlight=*:*
Reclining Male Nude (1952),Annette G B Ronald,collections.ed.ac.uk/art/record/20817?highlight=*:*
Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,collections.ed.ac.uk/art/record/99450?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99810?highlight=*:*
Stag,Emma Gillies,collections.ed.ac.uk/art/record/53748?highlight=*:*
Unknown (1948),Marjorie Wallace,collections.ed.ac.uk/art/record/50446?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,collections.ed.ac.uk/art/record/21520?highlight=*:*
The Fruitstand (Unknown),Elizabeth Gourlay,collections.ed.ac.uk/art/record/21777?highlight=*:*
Untitled (1967),June Hanlon,collections.ed.ac.uk/art/record/22019?highlight=*:*
Untitled I (2007),Jenny Smith,collections.ed.ac.uk/art/record/99899?highlight=*:*
Seated Male Nude (1954),David Ewans,collections.ed.ac.uk/art/record/21228?highlight=*:*
Untitled (1961),Paresh C. Chakraborty,collections.ed.ac.uk/art/record/112305?highlight=*:*
Nun with Two Workmen in a Country Landscape,Unknown,collections.ed.ac.uk/art/record/22557?highlight=*:*
Untitled (2014),Rachel Hill,collections.ed.ac.uk/art/record/47451?highlight=*:*
Portrait of a Woman (1951),Madelaine Philip,collections.ed.ac.uk/art/record/21233?highlight=*:*
Standing Male Nude (1930-1931),Thomas Pow,collections.ed.ac.uk/art/record/21126?highlight=*:*
Unknown,Maureen Baird,collections.ed.ac.uk/art/record/50622?highlight=*:*
Portrait of a Woman (1952),W Baxter,collections.ed.ac.uk/art/record/21205?highlight=*:*
Natural Geometry series (a) (2015),Robin Crawford,collections.ed.ac.uk/art/record/53771?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,collections.ed.ac.uk/art/record/99457?highlight=*:*
Untitled - Figure Drawing of A Nude Woman Lying Down (1964-1965),Gordon Bryce,collections.ed.ac.uk/art/record/99278?highlight=*:*
Kneeling Female Nude (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20924?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20711?highlight=*:*
Abstract with Circles (Circa 1945),Alan Davie,collections.ed.ac.uk/art/record/20749?highlight=*:*
Unknown (1993),Rolandos Rimkunas,collections.ed.ac.uk/art/record/99851?highlight=*:*
Untitled - View From a Bath (1968),Alison Hutton,collections.ed.ac.uk/art/record/99272?highlight=*:*
Self Portrait (1951),Barbara C. Balmer,collections.ed.ac.uk/art/record/22708?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,collections.ed.ac.uk/art/record/21152?highlight=*:*
Untitled (Unknown),David C Duke,collections.ed.ac.uk/art/record/21983?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99807?highlight=*:*
Reclining Female Nude (1954),Margaret Proudfoot,collections.ed.ac.uk/art/record/21260?highlight=*:*
Chinese sleeveband. waves,Unknown,collections.ed.ac.uk/art/record/102703?highlight=*:*
Unknown (Circa 1890),Unknown,collections.ed.ac.uk/art/record/50467?highlight=*:*
Double Handled Vessel,Emma Gillies,collections.ed.ac.uk/art/record/53739?highlight=*:*
"Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald,collections.ed.ac.uk/art/record/22561?highlight=*:*
Untitled (Unknown),Derek McGuire,collections.ed.ac.uk/art/record/21912?highlight=*:*
Harbour Scene 'KY16' (1964),John Bellany,collections.ed.ac.uk/art/record/20743?highlight=*:*
Unknown,Lindsay Marshall,collections.ed.ac.uk/art/record/53564?highlight=*:*
Untitled - Portrait of a Man in a Hat (1963),Anthony J Valentine,collections.ed.ac.uk/art/record/99441?highlight=*:*
Untitled - Abstract Collage (1969),Leslie McConnell,collections.ed.ac.uk/art/record/99408?highlight=*:*
Reclining Male Nude (1952),Rosemary Wrighte,collections.ed.ac.uk/art/record/20860?highlight=*:*
Standing Male Nude with Stick (1958),Lesley Crawford,collections.ed.ac.uk/art/record/21110?highlight=*:*
Untitled,Jean M. A. Conacher,collections.ed.ac.uk/art/record/112354?highlight=*:*
144 (2015),Mark Osborne,collections.ed.ac.uk/art/record/53774?highlight=*:*
Unknown (1960),John Johnstone,collections.ed.ac.uk/art/record/53550?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21567?highlight=*:*
Ples (1983),Boris Bućan,collections.ed.ac.uk/art/record/22472?highlight=*:*
Ludovisi Throne (Circa 1912),Unknown,collections.ed.ac.uk/art/record/20575?highlight=*:*
Unknown (1963),Roger Cameron,collections.ed.ac.uk/art/record/50436?highlight=*:*
Untitled (Unknown),Paul Furneaux,collections.ed.ac.uk/art/record/21780?highlight=*:*
125 (2015),Mark Osborne,collections.ed.ac.uk/art/record/53772?highlight=*:*
Untitled (1997),Rachel Clark,collections.ed.ac.uk/art/record/21875?highlight=*:*
Red Faced (2014),Daniel Hughes,collections.ed.ac.uk/art/record/47440?highlight=*:*
Standing Male Nude (1939),Betty M. Ferguson,collections.ed.ac.uk/art/record/21131?highlight=*:*
Untitled (Unknown),Kirkland Main,collections.ed.ac.uk/art/record/21938?highlight=*:*
2. (a) Baskerville Serif (Unknown),Anthony Benjamin,collections.ed.ac.uk/art/record/21669?highlight=*:*
Unknown,Ian Paterson,collections.ed.ac.uk/art/record/53548?highlight=*:*
Untitled (Circa 1960),Robert L Snowden,collections.ed.ac.uk/art/record/21537?highlight=*:*
Standing Female Nude (1958),Bertha Roxburgh,collections.ed.ac.uk/art/record/21150?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53617?highlight=*:*
Cross Section (1987),Alastair Mack,collections.ed.ac.uk/art/record/21650?highlight=*:*
Salmon Abstract,Catherine Fairgrieve,collections.ed.ac.uk/art/record/22595?highlight=*:*
Sampler. Mary Ann Park (1819),Mary Ann Park,collections.ed.ac.uk/art/record/102706?highlight=*:*
Unknown (1947),Mabel D. Lawford,collections.ed.ac.uk/art/record/50534?highlight=*:*
Seaside Landscape (1953),Thelma M Macdonald,collections.ed.ac.uk/art/record/21011?highlight=*:*
Untitled,Peter Pretsell,collections.ed.ac.uk/art/record/99793?highlight=*:*
Standing Female Nude (Circa 1951),Rose Rifat,collections.ed.ac.uk/art/record/21236?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99959?highlight=*:*
Still Life Table (Circa 1965),Roy M. W. Cameron,collections.ed.ac.uk/art/record/22616?highlight=*:*
Replica cast of Partheon frieze GE32,Unknown,collections.ed.ac.uk/art/record/20654?highlight=*:*
Seated Nude (1958),Peter Standen,collections.ed.ac.uk/art/record/20862?highlight=*:*
Standing Figure (Circa 1979),Ursula M. Henning,collections.ed.ac.uk/art/record/22517?highlight=*:*
Black Rock (1983),Wendy McMurdo,collections.ed.ac.uk/art/record/21592?highlight=*:*
Siena (1956),John P Busby,collections.ed.ac.uk/art/record/53502?highlight=*:*
Untitled - Figure Drawing of A Standing Nude Male Draped with a Robe (1964-1965),Gordon Bryce,collections.ed.ac.uk/art/record/99275?highlight=*:*
Two Seated Female Nudes (1955),Fiona M Mouat,collections.ed.ac.uk/art/record/21196?highlight=*:*
Two Elements (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,collections.ed.ac.uk/art/record/54750?highlight=*:*
Nude Sleeping,Raymon Pattie,collections.ed.ac.uk/art/record/22529?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21571?highlight=*:*
Head Monotype No. 24 (1959),Alan M. Alexander,collections.ed.ac.uk/art/record/50592?highlight=*:*
Metope 2 from entablature of the Parthenon (1837),NA,collections.ed.ac.uk/art/record/20640?highlight=*:*
Portrait of a Man with Beard (18 Jan 1957),R Wright,collections.ed.ac.uk/art/record/20905?highlight=*:*
Unknown (1950),Patrick W. Barclay,collections.ed.ac.uk/art/record/50621?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53540?highlight=*:*
Portrait of a Woman Seated (1958),Richard McNeill,collections.ed.ac.uk/art/record/20893?highlight=*:*
Unknown (1946),Marjorie Wallace,collections.ed.ac.uk/art/record/50440?highlight=*:*
Church,Joanne Leonie Milne,collections.ed.ac.uk/art/record/21452?highlight=*:*
(verso) (1953),Llewella C. Brayne,collections.ed.ac.uk/art/record/22706?highlight=*:*
Unknown (1950),Zygmunt Bukowski,collections.ed.ac.uk/art/record/53554?highlight=*:*
Untitled - Two Birds (1963),Norman Thom,collections.ed.ac.uk/art/record/99417?highlight=*:*
Untitled - Seated man in yellow,Fergus A Mathers,collections.ed.ac.uk/art/record/99357?highlight=*:*
Matthew (1989),Janie Nichol,collections.ed.ac.uk/art/record/50414?highlight=*:*
Hand Thrown Pot,Emma Gillies,collections.ed.ac.uk/art/record/53736?highlight=*:*
Unknown (1957),Joan F. Biggins,collections.ed.ac.uk/art/record/50612?highlight=*:*
Unknown (1952),Alistair Fairweather,collections.ed.ac.uk/art/record/50421?highlight=*:*
Unknown (May 1963),Gregor Smith,collections.ed.ac.uk/art/record/53501?highlight=*:*
Blue Mood (1986),Paul Furneaux,collections.ed.ac.uk/art/record/21576?highlight=*:*
Unknown (Unknown),Victoria C F Bernie,collections.ed.ac.uk/art/record/21783?highlight=*:*
Man in Vest (1964),Carole V Danielson,collections.ed.ac.uk/art/record/22664?highlight=*:*
Seated Female Nude (1957),Isobel Howieson,collections.ed.ac.uk/art/record/20962?highlight=*:*
Untitled (1968),Maureen Purcell,collections.ed.ac.uk/art/record/22503?highlight=*:*
Girl (Unknown),Bosko Karanovic,collections.ed.ac.uk/art/record/21648?highlight=*:*
Reclining Male Nude (1959),James C. Y. Gavin,collections.ed.ac.uk/art/record/20878?highlight=*:*
Portrait (1956),Unknown,collections.ed.ac.uk/art/record/21256?highlight=*:*
Untitled - Two Men in Suits (1967),Catherine Robin,collections.ed.ac.uk/art/record/99412?highlight=*:*
Cantoria (front),Unknown,collections.ed.ac.uk/art/record/20579?highlight=*:*
Untitled (2007),Freya Cumming,collections.ed.ac.uk/art/record/99894?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53642?highlight=*:*
Portrait of a Woman in a Green-Checked Blouse (1952),Annette G B Ronald,collections.ed.ac.uk/art/record/22698?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20679?highlight=*:*
Portrait of a Seated Man (May 1960),John Gilbert,collections.ed.ac.uk/art/record/20997?highlight=*:*
Jalvation cocktail (Green) (2007),David Abbott,collections.ed.ac.uk/art/record/99888?highlight=*:*
Busmen Newhaven (Unknown),Irene Thomson,collections.ed.ac.uk/art/record/21901?highlight=*:*
Portrait of Two Heads (1952),Ian Lawson,collections.ed.ac.uk/art/record/21015?highlight=*:*
The Boston-Edinburgh Portfolio II (2006),Unknown,collections.ed.ac.uk/art/record/99855?highlight=*:*
"Metope 6, from entablature of the Parthenon (1837)",NA,collections.ed.ac.uk/art/record/20642?highlight=*:*
Zane (2013),Isobel Turley,collections.ed.ac.uk/art/record/21303?highlight=*:*
Unknown (1967),Gwen Mackenzie,collections.ed.ac.uk/art/record/50496?highlight=*:*
Studio Interior (Unknown),Hilary A. Fisher,collections.ed.ac.uk/art/record/21678?highlight=*:*
Untitled (1971),G.A. C,collections.ed.ac.uk/art/record/21927?highlight=*:*
Portrait of a Seated Young Woman (May 1960),John Gilbert,collections.ed.ac.uk/art/record/20998?highlight=*:*
A Good Dream and a Bad Dream (1970),John Mooney,collections.ed.ac.uk/art/record/20755?highlight=*:*
Seated Female Nude (1953),Mary Edmond,collections.ed.ac.uk/art/record/20896?highlight=*:*
Untitled - Girl with Crows (1961-1962),Gwendolene E Roger,collections.ed.ac.uk/art/record/99399?highlight=*:*
"Vale of Health, Hampstead Heath (1950)",Alexander Cree,collections.ed.ac.uk/art/record/50545?highlight=*:*
The Three Tyches,Unknown,collections.ed.ac.uk/art/record/20533?highlight=*:*
Untitled (1963),John Milligan,collections.ed.ac.uk/art/record/99355?highlight=*:*
Masked Divers,Robin S. Taylor,collections.ed.ac.uk/art/record/22683?highlight=*:*
Untitled (2007),Emma Peacock,collections.ed.ac.uk/art/record/99889?highlight=*:*
Untitled - Portrait of an Old Man (Feb 1962),William Gillon,collections.ed.ac.uk/art/record/99480?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21547?highlight=*:*
Horse,Emma Gillies,collections.ed.ac.uk/art/record/53750?highlight=*:*
Unknown (1960),Denness Morton,collections.ed.ac.uk/art/record/53547?highlight=*:*
Two Standing Male Nudes (24 Jan 1951),Norma G Reid,collections.ed.ac.uk/art/record/21393?highlight=*:*
Demolished Building,Keith Thomson,collections.ed.ac.uk/art/record/21464?highlight=*:*
Untitled - Two Chefs in a Dark Room (1964-1965),Gordon Bryce,collections.ed.ac.uk/art/record/99280?highlight=*:*
Via D' Italia (Unknown),John Brown,collections.ed.ac.uk/art/record/21673?highlight=*:*
Portrait of a Woman at a Table (1960),Dorothea Brown,collections.ed.ac.uk/art/record/20995?highlight=*:*
Unknown (1952),Maureen Baird,collections.ed.ac.uk/art/record/50623?highlight=*:*
St. George (Pre 1837),Unknown,collections.ed.ac.uk/art/record/20590?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53650?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20728?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,collections.ed.ac.uk/art/record/99347?highlight=*:*
untitled (1961),James T Carlyle,collections.ed.ac.uk/art/record/21760?highlight=*:*
Untitled (1969),Gabrielle Stubbs,collections.ed.ac.uk/art/record/22488?highlight=*:*
Baroque Nude (1959),Alan Alexander,collections.ed.ac.uk/art/record/21092?highlight=*:*
Seated Female Nude (1939-1940),James Gordon,collections.ed.ac.uk/art/record/21095?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,collections.ed.ac.uk/art/record/20977?highlight=*:*
Unknown (1950),Marion M Cooper,collections.ed.ac.uk/art/record/50392?highlight=*:*
Unknown (1957),Peter Coyle,collections.ed.ac.uk/art/record/50511?highlight=*:*
Seated Female Nude (1953),Robert L Thompson,collections.ed.ac.uk/art/record/21122?highlight=*:*
Scaraped Bus Wheel (1990),Alastair Clark,collections.ed.ac.uk/art/record/21900?highlight=*:*
People on Bench,Hazel Rich,collections.ed.ac.uk/art/record/22525?highlight=*:*
Unknown (1942),Ian Duff,collections.ed.ac.uk/art/record/50579?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53610?highlight=*:*
Seated Female Nude (1954),Robert Fraser,collections.ed.ac.uk/art/record/21242?highlight=*:*
Portrait of a Man in a Cap (1960),Irene Ellis,collections.ed.ac.uk/art/record/20982?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99958?highlight=*:*
Teacup,Emma Gillies,collections.ed.ac.uk/art/record/53638?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21550?highlight=*:*
Untitled (1999),Kate Baker,collections.ed.ac.uk/art/record/21882?highlight=*:*
Abstract,V. Constant,collections.ed.ac.uk/art/record/111447?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20719?highlight=*:*
